Reference, Quantity, Value, Footprint, Datasheet, LCSC part #
C17 ,1,"4.7uF","Capacitor_SMD:C_0402_1005Metric","~","C23733"
C2 C3 ,2,"10pF","Capacitor_SMD:C_0402_1005Metric","~","C32949"
C4 C5 ,2,"5pF","Capacitor_SMD:C_0402_1005Metric","~","C318616"
C6 C15 C16 ,3,"0.1uF","Capacitor_SMD:C_0402_1005Metric","~","C1525"
C8 C12 C1 C7 ,4,"1uF","Capacitor_SMD:C_0402_1005Metric","~","C52923"
C9 C10 C11 C13 C14 ,5,"100nF","Capacitor_SMD:C_0402_1005Metric","~","C1525"
D1 D2 ,2,"LED","LED_SMD:LED_0603_1608Metric","~","C72038"
H1 H2 H3 ,3,"MountingHole_Pad","MountingHole:MountingHole_3.2mm_M3_Pad_Via","~"
J1 ,1,"USB_C_Receptacle","Connector_USB:USB_C_Receptacle_GCT_USB4085","https://www.usb.org/sites/default/files/documents/usb_type-c.zip"
J2 ,1,"SWD","Connector_PinHeader_2.54mm:PinHeader_2x05_P2.54mm_Vertical_SMD","~"
J3 ,1,"Boot","Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical","~"
J4 ,1,"USART","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~"
L1 ,1,"12nH","Inductor_SMD:L_0402_1005Metric","~","C24563"
R1 R2 ,2,"510","Resistor_SMD:R_0402_1005Metric","~","C25123"
R3 ,1,"3.3k","Resistor_SMD:R_0402_1005Metric","~","C25890"
R4 R5 ,2,"100k","Resistor_SMD:R_0402_1005Metric","~","C25741"
R6 R7 ,2,"20","Resistor_SMD:R_0402_1005Metric","~","C25089"
R8 ,1,"1.5k","Resistor_SMD:R_0402_1005Metric","~","C25867"
R9 R10 ,2,"4.7k","Resistor_SMD:R_0402_1005Metric","~","C25900"
SW1 ,1,"SW_Push","Button_Switch_SMD:SW_SPST_B3SL-1002P","~","C318887"
U1 ,1,"TLV70033_SOT23-5","Package_TO_SOT_SMD:SOT-23-5","http://www.ti.com/lit/ds/symlink/tlv700.pdf","C132090"
U2 ,1,"STM32F103C8Tx","Package_QFP:LQFP-48_7x7mm_P0.5mm","http://www.st.com/st-web-ui/static/active/en/resource/technical/document/datasheet/CD00161566.pdf","C8734"
U3 ,1,"USBLC6-2SC6","Package_TO_SOT_SMD:SOT-23-6","http://www2.st.com/resource/en/datasheet/CD00050750.pdf","C7519"
U4 ,1,"MMA8451Q","my_footprint:MMA8451Q","https://www.nxp.com/docs/en/data-sheet/MMA8451Q.pdf","C118083"
Y1 ,1,"8MHz","Crystal:Crystal_SMD_5032-2Pin_5.0x3.2mm","~","C115962"
Y2 ,1,"32.768kHz","Crystal:Crystal_SMD_3215-2Pin_3.2x1.5mm","~","C48615"